date,samples,comment,take,of,i,wet,is,memory,all,toilet,dry,"
- "
Thu Sep 28 08:00:00 CST 2023,,"Note:
- previous day was installing legs
- Went at night and swapped a new rain gauge b/c I'd forgotten to solder it's alligator clips. Next day plan to go to cave to swap other gauges inside
- after trip: (1) soldered the clip (2) attached legs for the cave",,,,,,,,,,
Wed Sep 27 08:00:00 CST 2023,"[{:location :ThMuOutsideDrone, :bottle :D, :board :R11, :comment ""Note:\n-`:RG06` (ie. `:RG86`) at bottle `:D`.. ie. `:ThMuOutsideDrone` was replaced with a new rain gauge (no RG number) and logger `:R06`\n- bottle `:D` had a small hole added so water doesn't sit in tube due to backpressure\n- gauge has a ton of ants!""} {:location :ThMuOutsideWasp, :bottle nil, :board :R11, :comment ""Note:\n- didn't have a rain gauge (removed on previous trip)\n- New gauge and logger installed\n- There is a wasp nest being established""}]","Note:
First arrived in Ao Leuk and went to cave on my own on a bike",,,,,,,,,,
Wed Sep 20 08:00:00 CST 2023,"[{:location :ThMuCH2Sh02WhiteLoner, :bottle :B, :gauge :RG01, :board :FR1, :vial :ACBW, :comment ""again, very little water""} {:location :ThMuCH2Sh02PairTall, :bottle :C, :gauge :RG04, :board :FR4, :vial :AHHT} {:location :ThMuCh0ConjoinedBottom, :bottle :X, :gauge :RG02, :board :FR02, :vial :ABBP} {:location :ThMuCh1LongLizard, :bottle :A, :gauge :RG03, :board :FR03, :vial :ATMB} {:location :ThMuOutsideDrone, :bottle :D, :gauge :RG06, :board :FR06, :vial :AHHJ} {:location :ThMuOutsideWasp, :bottle :N, :gauge :RG05, :board :FR05, :vial nil, :comment ""knocked over by cow! broken again""}]","Notes:
- Last collection before I arrive and install new Rainuses
- No photos b/c Nong dropped his phone at the cave entrance
- `:RG05` broken again by cow this time (maybe). Nong took to fix again
- Again.. loggers are not being collected anylonger",,,,,,,,,,
Mon Sep 04 08:00:00 CST 2023,"[{:location :ThMuCH2Sh02WhiteLoner, :bottle :B, :gauge :RG01, :board :FR1, :vial :ANDJ, :comment ""water is back, but very little""} {:location :ThMuCH2Sh02PairTall, :bottle :C, :gauge :RG04, :board :FR4, :vial :ARFP} {:location :ThMuCh0ConjoinedBottom, :bottle :X, :gauge :RG02, :board :FR02, :vial :AZXA} {:location :ThMuCh1LongLizard, :bottle :A, :gauge :RG03, :board :FR03, :vial :AAYW} {:location :ThMuOutsideDrone, :bottle :D, :gauge :RG06, :board :FR06, :vial :AQTH} {:location :ThMuOutsideWasp, :bottle :N, :gauge :RG05, :board :FR05, :vial nil, :comment ""tube-cone reinstalled (next time broken again)""}]","Notes:
- All rain gauges seem to no longer work so no data
- outside gauge `:N` was fixed (bottom cone) and reinstalled",,,,,,,,,,
Mon Aug 21 08:00:00 CST 2023,"[{:location :ThMuCH2Sh02WhiteLoner, :bottle :B, :gauge :RG01, :board :FR1, :vial :EMPTY, :comment ""no water again! But cave looks wet""} {:location :ThMuCH2Sh02PairTall, :bottle :C, :gauge :RG04, :board :FR4, :vial :ADBM} {:location :ThMuCh0ConjoinedBottom, :bottle :X, :gauge :RG02, :board :FR02, :vial :AALY, :comment ""Water is finally back! Pic of stalagtite""} {:location :ThMuCh1LongLizard, :bottle :A, :gauge :RG03, :board :FR03, :vial :AERJ} {:location :ThMuOutsideDrone, :bottle :D, :gauge :RG06, :board :FR06, :vial :ASWK, :comment ""first water with new bottle""} {:location :ThMuOutsideWasp, :bottle :N, :gauge :RG05, :board :FR05, :vial :AYFF, :comment ""tube-cone fell off.. maybe not whole signal""}]","Notes:
- No water on B, which is strange
- 'the clay that you put on is worn out but possition is still look good'
- 'There are more water and higher humidity but every raingauge is still less water even it's already back to drip already'
- tube-cone fell off bottom of `:RG05` at Wasp stump
- All rain gauges seem to no longer work ",,,,,,,,,,
Wed Aug 02 08:00:00 CST 2023,"[{:location :ThMuCH2Sh02WhiteLoner, :bottle :B, :gauge :RG01, :board :FR1, :vial :AMKJ, :comment ""still very little water. battery fell out""} {:location :ThMuCH2Sh02PairTall, :bottle :C, :gauge :RG04, :board :FR4, :vial :AYER} {:location :ThMuCh0ConjoinedBottom, :bottle :X, :gauge :RG02, :board :FR02, :vial :AGWM, :comment ""Water is finally back! Pic of stalagtite""} {:location :ThMuCh1LongLizard, :bottle :A, :gauge :RG03, :board :FR03, :vial :AXWC} {:location :ThMuOutsideDrone, :bottle :D, :gauge :RG06, :board :FR06, :vial :AYNM, :comment ""first water with new bottle""} {:location :ThMuOutsideWasp, :bottle :N, :gauge :RG05, :board :FR05, :vial :AFUP}]","Notes:
- All gauge files seem present now
- Rainus box on `:B` fell over (animal?) battery disloged",,,,,,,,,,
Thu Jul 20 08:00:00 CST 2023,"[{:location :ThMuCH2Sh02WhiteLoner, :bottle :B, :gauge :RG01, :board :FR1, :vial :ANVL, :comment ""A bit more water than last time, but still little""} {:location :ThMuCH2Sh02PairTall, :bottle :C, :gauge :RG04, :board :FR4, :vial :AFBC} {:location :ThMuCh0ConjoinedBottom, :bottle :X, :gauge :RG02, :board :FR02, :vial :EMPTY, :comment ""No water again - See photo""} {:location :ThMuCh1LongLizard, :bottle :A, :gauge :RG03, :board :FR03, :vial :START, :comment ""daily sampler replaced with bottle `:A`""} {:location :ThMuOutsideDrone, :bottle :D, :gauge :RG06, :board :FR06, :vial :ARHK, :comment ""first water with new bottle""} {:location :ThMuOutsideWasp, :bottle :N, :gauge :RG05, :board :FR05, :vial :AAWP, :comment ""New bottle's first sample :)""}]","Notes:
-'`:N` is the new one from rain gauge next to the machine out side'
- `i skip 5A because it's on the wrang set from my misstake that i forget to change last time`
- So gauge files don't have a `5A.txt`
- He took daily sampler out of the cave finally
- Again, he installs a new bottle (`:A`) - only mentions after next trip",,,,,,,,,,
Wed Jul 05 08:00:00 CST 2023,"[{:location :ThMuCH2Sh02WhiteLoner, :bottle :B, :gauge :RG01, :board :FR1, :vial :AABK, :comment ""Almost no water too! (enough for sample though)""} {:location :ThMuCH2Sh02PairTall, :bottle :C, :gauge :RG04, :board :FR4, :vial :APKN} {:location :ThMuCh0ConjoinedBottom, :bottle :X, :gauge :RG02, :board :FR02, :vial :EMPTY, :comment ""No water again - See photo""} {:location :ThMuCh1LongLizard, :bottle nil, :gauge :RG03, :board :FR03} {:location :ThMuOutsideDrone, :bottle :D, :gauge :RG06, :board :FR06, :vial :AVGN, :comment ""first water with new bottle""} {:location :ThMuOutsideWasp, :bottle :N, :gauge :RG05, :board :FR05, :vial :ARFJ, :comment ""New bottle's first sample :)""}]","Notes:
-'`:N` is the new one from rain gauge next to the machine out side'
- `i skip 5A because it's on the wrang set from my misstake that i forget to change last time`",,,,,,,,,,
Mon Jun 26 08:00:00 CST 2023,"[{:location :ThMuCH2Sh02WhiteLoner, :bottle :B, :gauge :RG01, :board :FR1, :vial :AWTB} {:location :ThMuCH2Sh02PairTall, :bottle :C, :gauge :RG04, :board :FR4, :vial :AJBL} {:location :ThMuCh0ConjoinedBottom, :bottle :X, :gauge :RG02, :board :FR02, :vial :EMPTY, :comment ""Still no water at all. Nong sent video""} {:location :ThMuCh1LongLizard, :bottle nil, :gauge :RG03, :board :FR03} {:location :ThMuOutsideDrone, :bottle :D, :gauge :RG06, :board :FR06, :vial :AVJW, :comment ""first water with new bottle""} {:location :ThMuOutsideWasp, :bottle :N, :gauge :RG05, :board :FR05, :vial :START, :comment ""New bottle attached to replace daily sampler""}]","Notes:
- His phone ran out of batteries so no photos.
- He only mentioned the new bottle `:N` in chat after the next trip
-'`:N` is the new one from rain gauge next to the machine out side",,,,,,,,,,
Mon Jun 12 08:00:00 CST 2023,"[{:location :ThMuCH2Sh02WhiteLoner, :bottle :B, :gauge :RG01, :board :FR1, :vial :AREG} {:location :ThMuCH2Sh02PairTall, :bottle :C, :gauge :RG04, :board :FR4, :vial :AWRW} {:location :ThMuCh0ConjoinedBottom, :bottle :X, :gauge :RG02, :board :FR02, :vial :EMPTY, :comment ""It's been raining but sidechamber is dry-ish""} {:location :ThMuCh1LongLizard, :bottle nil, :gauge :RG03, :board :FR03} {:location :ThMuOutsideDrone, :bottle :D, :gauge :RG06, :board :FR06, :vial :ANZG, :comment ""first water with new bottle""} {:location :ThMuOutsideWasp, :bottle nil, :gauge :RG05, :board :FR05, :comment """"}]","Notes:
- Weirdly we have a lot of samples from the outside sampler even though it's supposed to be broken!
- Nong thinks the wind is blowing in water from the side
- `D` is now a new bottle style (ketchup sauce instead of plastic jug)
- 'the first rainguege is really less water'",,,,,,,,,,
Tue May 30 08:00:00 CST 2023,"[{:location :ThMuCH2Sh02WhiteLoner, :bottle :B, :gauge :RG01, :board :FR1, :vial :ADWC} {:location :ThMuCH2Sh02PairTall, :bottle :C, :gauge :RG04, :board :FR4, :vial :AQEX} {:location :ThMuCh0ConjoinedBottom, :bottle :X, :gauge :RG02, :board :FR02, :vial :ASHS} {:location :ThMuCh1LongLizard, :bottle nil, :gauge :RG03, :board :FR03} {:location :ThMuOutsideDrone, :bottle :D, :gauge :RG06, :board :FR06, :vial :START, :comment ""Looks like Nong fixed it?""} {:location :ThMuOutsideWasp, :bottle nil, :gauge :RG05, :board :FR05, :comment """"}]","Notes:
1 - 'and the brocken raingauge D is already fixed'
2 - No calcite growth on raingauges in the cave (asked Nong to check)
3- 'outside matchine is only 2 bottle fill'",,,,,,,,,,
Wed May 17 08:00:00 CST 2023,"[{:location :ThMuCH2Sh02WhiteLoner, :bottle :B, :gauge :RG01, :board :FR1, :vial :AUQS} {:location :ThMuCH2Sh02PairTall, :bottle :C, :gauge :RG04, :board :FR4, :vial :AYFP} {:location :ThMuCh0ConjoinedBottom, :bottle :X, :gauge :RG02, :board :FR02, :vial :AREC} {:location :ThMuCh1LongLizard, :bottle nil, :gauge :RG03, :board :FR03} {:location :ThMuOutsideDrone, :bottle :D, :gauge :RG06, :board :FR06, :comment ""bottle still broken""} {:location :ThMuOutsideWasp, :bottle nil, :gauge :RG05, :board :FR05, :comment """"}]","Notes:
NO SD CARD FILES??
Pics sent a few days late b/c went to pull the core with Nutt
1. Sampler is having weird issues
=====
Nong:
for the matchine, there are some thing happen. if i go early it will turn 1 day less, if i go late it will 1 day over.
Me:
The machine is set to turn in the middle of the night but we do have an issue that when you collect you need to not collect the day it's currently dripping into. But we discussed that
Nong:
time before last time was 8 and then 17
=====
2. The bottle outside had cracked and hadn't been fixed yet
'D is the brocken one out side'
3. Clay to hold lids over the rain gauges in the cave has worn away",,,,,,,,,,
Mon May 08 08:00:00 CST 2023,"[{:location :ThMuCH2Sh02WhiteLoner, :bottle :B, :gauge :RG01, :board :FR1, :vial :ARBX} {:location :ThMuCH2Sh02PairTall, :bottle :C, :gauge :RG04, :board :FR4, :vial :AFQH} {:location :ThMuCh0ConjoinedBottom, :bottle :X, :gauge :RG02, :board :FR02, :vial :AENE} {:location :ThMuCh1LongLizard, :bottle nil, :gauge :RG03, :board :FR03} {:location :ThMuOutsideDrone, :bottle :D, :gauge :RG06, :board :FR06, :comment ""bottle still broken""} {:location :ThMuOutsideWasp, :bottle nil, :gauge :RG05, :board :FR05, :comment """"}]","Notes:
Wire on timer rewired?? (see pics)",,,,,,,,,,
Tue Apr 25 08:00:00 CST 2023,"[{:location :ThMuCH2Sh02WhiteLoner, :bottle :B, :gauge :RG01, :board :FR1, :vial :AQRT} {:location :ThMuCH2Sh02PairTall, :bottle :C, :gauge :RG04, :board :FR4, :vial :AQFK} {:location :ThMuCh0ConjoinedBottom, :bottle :X, :gauge :RG02, :board :FR02, :vial :ALRR} {:location :ThMuCh1LongLizard, :bottle nil, :gauge :RG03, :board :FR03} {:location :ThMuOutsideDrone, :bottle :D, :gauge :RG06, :board :FR06, :comment ""bottle still broken""} {:location :ThMuOutsideWasp, :bottle nil, :gauge :RG05, :board :FR05, :comment """"}]","Notes:
- First really rainy week
- Nong got his laptop fixed and the SD card read finally
- Outside machine maybe permanently broken?",,,,,,,,,,
Wed Apr 12 08:00:00 CST 2023,"[{:location :ThMuCH2Sh02WhiteLoner, :bottle :B, :gauge :RG01, :board :FR1, :vial :AQPM} {:location :ThMuCH2Sh02PairTall, :bottle :C, :gauge :RG04, :board :FR4, :vial :AAEM} {:location :ThMuCh0ConjoinedBottom, :bottle :X, :gauge :RG02, :board :FR02, :vial :ALLH} {:location :ThMuCh1LongLizard, :bottle nil, :gauge :RG03, :board :FR03} {:location :ThMuOutsideDrone, :bottle :D, :gauge :RG06, :board :FR06, :vial :AKFS, :comment ""Hot glue to bottle broke/melted.. Unreliable""} {:location :ThMuOutsideWasp, :bottle nil, :gauge :RG05, :board :FR05, :comment """"}]","Notes:
NO GAUGE FILES BC LAPTOP BROKEN
- the hot glue holding the tube to outside water collector `D` had melted and dislogged
- Nong's laptop broke so he couldn't send SD card files!!
- He left to go camping in Khanom so I only got the files on the 14th",,,,,,,,,,
Mon Apr 03 08:00:00 CST 2023,"[{:location :ThMuCH2Sh02WhiteLoner, :bottle :B, :gauge :RG01, :board :FR1, :vial :AGDV} {:location :ThMuCH2Sh02PairTall, :bottle :C, :gauge :RG04, :board :FR4, :vial :ACLW} {:location :ThMuCh0ConjoinedBottom, :bottle :X, :gauge :RG02, :board :FR02, :vial :AGDX} {:location :ThMuCh1LongLizard, :bottle nil, :gauge :RG03, :board :FR03} {:location :ThMuOutsideDrone, :bottle :D, :gauge :RG06, :board :FR06, :vial :ARFE, :comment ""Green color due to bird poop""} {:location :ThMuOutsideWasp, :bottle nil, :gauge :RG05, :board :FR05, :comment """"}]","Notes:
- Bird pooped all over outside machine
- Outside machine on wrong number
- Water in some bottles is green (b/c of poop)
- Outside machine runs correctly after battery change
- Trees need outside machine were cut down (and also no rubber garden anymore)
- Outside machine left on 10
- Inside machine left on 02
- Next day Nong went (to give a tour) and inside machine was on 01
Extra
- May pics of boards? Not clear why",,,,,,,,,,
Fri Mar 24 08:00:00 CST 2023,"[{:location :ThMuCH2Sh02WhiteLoner, :bottle :B, :gauge :RG01, :board :FR1, :vial :ANHW} {:location :ThMuCH2Sh02PairTall, :bottle :C, :gauge :RG04, :board :FR4, :vial :AGWT} {:location :ThMuCh0ConjoinedBottom, :bottle :X, :gauge :RG02, :board :FR02, :vial :ARBS} {:location :ThMuCh1LongLizard, :bottle nil, :gauge :RG03, :board :FR03} {:location :ThMuOutsideDrone, :bottle :D, :gauge :RG06, :board :FR06, :vial :EMPTY, :comment ""No rain""} {:location :ThMuOutsideWasp, :bottle nil, :gauge :RG05, :board :FR05, :comment """"}]","Notes:
- 'it was from bottle 8 today is day 11, it's should on number 14'
- 'but now is on 12'
- Memory card was not changed on gauge 3
- 'so hard rain at my home for 1almost 1 hour but no rain at Thammurd'
- 'first rain in 2 month ... 3 days ago' (on 03-22)
- `D` was empty (b/c no rain)
- 'water level is little hight up'",,,,,,,,,,
Tue Mar 14 08:00:00 CST 2023,"[{:location :ThMuCH2Sh02WhiteLoner, :bottle :B, :gauge :RG01, :board :FR1, :vial :AZXQ} {:location :ThMuCH2Sh02PairTall, :bottle :C, :gauge :RG04, :board :FR4, :vial :AWZS} {:location :ThMuCh0ConjoinedBottom, :bottle :X, :gauge :RG02, :board :FR02, :vial :AVYG} {:location :ThMuCh1LongLizard, :bottle nil, :gauge :RG03, :board :FR03} {:location :ThMuOutsideDrone, :bottle :D, :gauge :RG06, :board :FR06, :vial :ADYK} {:location :ThMuOutsideWasp, :bottle nil, :gauge :RG05, :board :FR05, :comment """"}]","Notes:
- Nong forgot to change the SD card on rain gauge 3. (SD card 3A)
- The outside machine didn't turn properly again
- 'the matchine out side is wrong number again, battery is empty, then i change battery and test it 2 times, it run correctly again after battery change'
- 'but little bit wierd, today it was on number 6 but it have no any water on bottle 6?'",,,,,,,,,,
Tue Feb 28 08:00:00 CST 2023,"[{:location :ThMuCH2Sh02WhiteLoner, :bottle :B, :gauge :RG01, :board :FR1, :vial :AWBY} {:location :ThMuCH2Sh02PairTall, :bottle :C, :gauge :RG04, :board :FR4, :vial :AAVS} {:location :ThMuCh0ConjoinedBottom, :bottle :X, :gauge :RG02, :board :FR02, :vial :ADWW} {:location :ThMuCh1LongLizard, :bottle nil, :gauge :RG03, :board :FR03} {:location :ThMuOutsideDrone, :bottle :D, :gauge :RG06, :board :FR06, :vial :ACLN} {:location :ThMuOutsideWasp, :bottle nil, :gauge :RG05, :board :FR05, :comment """"}]","Notes:
- 'the out side matchine is stop working, it's seem like it only turn 1 time, i try to test but it's not run, then i change the battery and tast it 2 time It's work propperly when i change the battery'
- outside left on number 13",,,,,,,,,,
Mon Feb 20 08:00:00 CST 2023,"[{:location :ThMuCH2Sh02WhiteLoner, :bottle :B, :gauge :RG01, :board :FR1, :vial :APGE, :comment ""Bottle was moved down I think""} {:location :ThMuCH2Sh02PairTall, :bottle :C, :gauge :RG04, :board :FR4, :vial :AZAX} {:location :ThMuCh0ConjoinedBottom, :bottle :X, :gauge :RG02, :board :FR02, :vial :ACET} {:location :ThMuCh1LongLizard, :bottle nil, :gauge :RG03, :board :FR03, :comment """"} {:location :ThMuOutsideDrone, :bottle :D, :gauge :RG06, :board :FR06, :vial :AHJZ} {:location :ThMuOutsideWasp, :bottle nil, :gauge :RG05, :board :FR05}]","Notes:
- inside machine fixed??
- change bottle [B?] location from shelf to ground (easier sample collection - doesn't need to clumb up)
- outside machine went from 8 to 16 (so missed one day??)
- last time the machine collected 2 days before it fell
- rain gauge fell due to rat (see pics)",,,,,,,,,,
